Grid Name,"Min Latitude, Min Longitude","Max Latitude, Max Longitude"
OQA,"(35.90384615384615, 128.92307692307693)","(36.03846153846154, 129.0769230769231)"
OQB,"(35.90384615384615, 129.0769230769231)","(36.03846153846154, 129.23076923076923)"
ORA,"(35.90384615384615, 129.23076923076923)","(36.03846153846154, 129.3846153846154)"
ORD,"(35.76923076923077, 129.3846153846154)","(35.90384615384615, 129.53846153846155)"
ORB,"(35.90384615384615, 129.3846153846154)","(36.03846153846154, 129.53846153846155)"
RLA,"(36.71153846153847, 127.38461538461539)","(36.84615384615385, 127.53846153846155)"
RLD,"(36.57692307692308, 127.53846153846155)","(36.71153846153847, 127.6923076923077)"
RNA,"(36.71153846153847, 128.0)","(36.84615384615385, 128.15384615384616)"
RNB,"(36.71153846153847, 128.15384615384616)","(36.84615384615385, 128.30769230769232)"
SJC,"(36.84615384615385, 126.76923076923077)","(36.980769230769226, 126.92307692307693)"
SJD,"(36.84615384615385, 126.92307692307693)","(36.980769230769226, 127.07692307692308)"
SKC,"(36.84615384615385, 127.07692307692308)","(36.980769230769226, 127.23076923076923)"
TIC,"(37.11538461538461, 126.46153846153847)","(37.25, 126.61538461538461)"
TIA,"(37.25, 126.46153846153847)","(37.38461538461539, 126.61538461538461)"
TJD,"(37.11538461538461, 126.92307692307693)","(37.25, 127.07692307692308)"
TJB,"(37.25, 126.92307692307693)","(37.38461538461539, 127.07692307692308)"
UHC,"(37.38461538461539, 126.15384615384616)","(37.519230769230774, 126.30769230769232)"
UHA,"(37.519230769230774, 126.15384615384616)","(37.65384615384615, 126.30769230769232)"
UHB,"(37.519230769230774, 126.30769230769232)","(37.65384615384615, 126.46153846153847)"
UJC,"(37.38461538461539, 126.76923076923077)","(37.519230769230774, 126.92307692307693)"
UKD,"(37.38461538461539, 127.23076923076923)","(37.519230769230774, 127.38461538461539)"
ULC,"(37.38461538461539, 127.38461538461539)","(37.519230769230774, 127.53846153846155)"
ULA,"(37.519230769230774, 127.38461538461539)","(37.65384615384615, 127.53846153846155)"
ULD,"(37.38461538461539, 127.53846153846155)","(37.519230769230774, 127.6923076923077)"
VJA,"(37.78846153846153, 126.76923076923077)","(37.92307692307692, 126.92307692307693)"
VJD,"(37.65384615384615, 126.92307692307693)","(37.78846153846153, 127.07692307692308)"
VJB,"(37.78846153846153, 126.92307692307693)","(37.92307692307692, 127.07692307692308)"
VKC,"(37.65384615384615, 127.07692307692308)","(37.78846153846153, 127.23076923076923)"
VKA,"(37.78846153846153, 127.07692307692308)","(37.92307692307692, 127.23076923076923)"
VKB,"(37.78846153846153, 127.23076923076923)","(37.92307692307692, 127.38461538461539)"
VLA,"(37.78846153846153, 127.38461538461539)","(37.92307692307692, 127.53846153846155)"
VLD,"(37.65384615384615, 127.53846153846155)","(37.78846153846153, 127.6923076923077)"
VLB,"(37.78846153846153, 127.53846153846155)","(37.92307692307692, 127.6923076923077)"
OQDC,"(35.76923076923077, 129.0769230769231)","(35.83653846153846, 129.15384615384616)"
OQDA,"(35.83653846153846, 129.0769230769231)","(35.90384615384615, 129.15384615384616)"
OQDB,"(35.83653846153846, 129.15384615384616)","(35.90384615384615, 129.23076923076923)"
ORCB,"(35.83653846153846, 129.30769230769232)","(35.90384615384615, 129.3846153846154)"
RLCC,"(36.57692307692308, 127.38461538461539)","(36.644230769230774, 127.46153846153847)"
RLCA,"(36.644230769230774, 127.38461538461539)","(36.71153846153847, 127.46153846153847)"
RLCD,"(36.57692307692308, 127.46153846153847)","(36.644230769230774, 127.53846153846155)"
RLBC,"(36.71153846153847, 127.53846153846155)","(36.77884615384616, 127.61538461538461)"
RLBD,"(36.71153846153847, 127.61538461538461)","(36.77884615384616, 127.6923076923077)"
RLBB,"(36.77884615384616, 127.61538461538461)","(36.84615384615385, 127.6923076923077)"
RNCC,"(36.57692307692308, 128.0)","(36.644230769230774, 128.0769230769231)"
RNCA,"(36.644230769230774, 128.0)","(36.71153846153847, 128.0769230769231)"
RNCB,"(36.644230769230774, 128.0769230769231)","(36.71153846153847, 128.15384615384616)"
RNDA,"(36.644230769230774, 128.15384615384616)","(36.71153846153847, 128.23076923076923)"
RNDD,"(36.57692307692308, 128.23076923076923)","(36.644230769230774, 128.30769230769232)"
RNDB,"(36.644230769230774, 128.23076923076923)","(36.71153846153847, 128.30769230769232)"
SJAC,"(36.980769230769226, 126.76923076923077)","(37.04807692307692, 126.84615384615385)"
SJAD,"(36.980769230769226, 126.84615384615385)","(37.04807692307692, 126.92307692307693)"
SJBB,"(37.04807692307692, 127.0)","(37.11538461538461, 127.07692307692308)"
SKAA,"(37.04807692307692, 127.07692307692308)","(37.11538461538461, 127.15384615384616)"
SKAB,"(37.04807692307692, 127.15384615384616)","(37.11538461538461, 127.23076923076923)"
SKDC,"(36.84615384615385, 127.23076923076923)","(36.91346153846153, 127.3076923076923)"
SKDD,"(36.84615384615385, 127.3076923076923)","(36.91346153846153, 127.38461538461539)"
SKBA,"(37.04807692307692, 127.23076923076923)","(37.11538461538461, 127.3076923076923)"
SKBB,"(37.04807692307692, 127.3076923076923)","(37.11538461538461, 127.38461538461539)"
TIDC,"(37.11538461538461, 126.61538461538461)","(37.18269230769231, 126.6923076923077)"
TIDA,"(37.18269230769231, 126.61538461538461)","(37.25, 126.6923076923077)"
TIDD,"(37.11538461538461, 126.6923076923077)","(37.18269230769231, 126.76923076923077)"
TIBC,"(37.25, 126.61538461538461)","(37.31730769230769, 126.6923076923077)"
TJCD,"(37.11538461538461, 126.84615384615385)","(37.18269230769231, 126.92307692307693)"
TJCB,"(37.18269230769231, 126.84615384615385)","(37.25, 126.92307692307693)"
TJAC,"(37.25, 126.76923076923077)","(37.31730769230769, 126.84615384615385)"
TJAA,"(37.31730769230769, 126.76923076923077)","(37.38461538461539, 126.84615384615385)"
UHDC,"(37.38461538461539, 126.30769230769232)","(37.45192307692308, 126.38461538461539)"
UHDB,"(37.45192307692308, 126.38461538461539)","(37.519230769230774, 126.46153846153847)"
UIAC,"(37.519230769230774, 126.46153846153847)","(37.58653846153847, 126.53846153846155)"
UIAA,"(37.58653846153847, 126.46153846153847)","(37.65384615384615, 126.53846153846155)"
UIAB,"(37.58653846153847, 126.53846153846155)","(37.65384615384615, 126.61538461538461)"
UIDB,"(37.45192307692308, 126.6923076923077)","(37.519230769230774, 126.76923076923077)"
UIBB,"(37.58653846153847, 126.6923076923077)","(37.65384615384615, 126.76923076923077)"
UJAD,"(37.519230769230774, 126.84615384615385)","(37.58653846153847, 126.92307692307693)"
UJDC,"(37.38461538461539, 126.92307692307693)","(37.45192307692308, 127.0)"
UJDA,"(37.45192307692308, 126.92307692307693)","(37.519230769230774, 127.0)"
UJDD,"(37.38461538461539, 127.0)","(37.45192307692308, 127.07692307692308)"
UJBB,"(37.58653846153847, 127.0)","(37.65384615384615, 127.07692307692308)"
UKCA,"(37.45192307692308, 127.07692307692308)","(37.519230769230774, 127.15384615384616)"
UKCD,"(37.38461538461539, 127.15384615384616)","(37.45192307692308, 127.23076923076923)"
UKCB,"(37.45192307692308, 127.15384615384616)","(37.519230769230774, 127.23076923076923)"
UKAC,"(37.519230769230774, 127.07692307692308)","(37.58653846153847, 127.15384615384616)"
UKAA,"(37.58653846153847, 127.07692307692308)","(37.65384615384615, 127.15384615384616)"
UKAD,"(37.519230769230774, 127.15384615384616)","(37.58653846153847, 127.23076923076923)"
UKBC,"(37.519230769230774, 127.23076923076923)","(37.58653846153847, 127.3076923076923)"
UKBD,"(37.519230769230774, 127.3076923076923)","(37.58653846153847, 127.38461538461539)"
UKBB,"(37.58653846153847, 127.3076923076923)","(37.65384615384615, 127.38461538461539)"
ULBC,"(37.519230769230774, 127.53846153846155)","(37.58653846153847, 127.61538461538461)"
ULBA,"(37.58653846153847, 127.53846153846155)","(37.65384615384615, 127.61538461538461)"
ULBD,"(37.519230769230774, 127.61538461538461)","(37.58653846153847, 127.6923076923077)"
VJCB,"(37.72115384615384, 126.84615384615385)","(37.78846153846153, 126.92307692307693)"
VKDC,"(37.65384615384615, 127.23076923076923)","(37.72115384615384, 127.3076923076923)"
VKDA,"(37.72115384615384, 127.23076923076923)","(37.78846153846153, 127.3076923076923)"
VKDB,"(37.72115384615384, 127.3076923076923)","(37.78846153846153, 127.38461538461539)"
VLCB,"(37.72115384615384, 127.46153846153847)","(37.78846153846153, 127.53846153846155)"
OQDDC,"(35.76923076923077, 129.15384615384616)","(35.80288461538461, 129.19230769230768)"
OQDDA,"(35.80288461538461, 129.15384615384616)","(35.83653846153846, 129.19230769230768)"
OQDDD,"(35.76923076923077, 129.19230769230768)","(35.80288461538461, 129.23076923076923)"
ORCCC,"(35.76923076923077, 129.23076923076923)","(35.80288461538461, 129.26923076923077)"
ORCCD,"(35.76923076923077, 129.26923076923077)","(35.80288461538461, 129.30769230769232)"
ORCCB,"(35.80288461538461, 129.26923076923077)","(35.83653846153846, 129.30769230769232)"
ORCAA,"(35.87019230769231, 129.23076923076923)","(35.90384615384615, 129.26923076923077)"
ORCAD,"(35.83653846153846, 129.26923076923077)","(35.87019230769231, 129.30769230769232)"
ORCAB,"(35.87019230769231, 129.26923076923077)","(35.90384615384615, 129.30769230769232)"
ORCDA,"(35.80288461538461, 129.30769230769232)","(35.83653846153846, 129.34615384615387)"
ORCDD,"(35.76923076923077, 129.34615384615387)","(35.80288461538461, 129.3846153846154)"
ORCDB,"(35.80288461538461, 129.34615384615387)","(35.83653846153846, 129.3846153846154)"
RLCBA,"(36.67788461538462, 127.46153846153847)","(36.71153846153847, 127.5)"
RLCBB,"(36.67788461538462, 127.5)","(36.71153846153847, 127.53846153846155)"
RLBAA,"(36.8125, 127.53846153846155)","(36.84615384615385, 127.57692307692308)"
RLBAB,"(36.8125, 127.57692307692308)","(36.84615384615385, 127.61538461538461)"
RNCDC,"(36.57692307692308, 128.0769230769231)","(36.61057692307693, 128.11538461538464)"
RNCDA,"(36.61057692307693, 128.0769230769231)","(36.644230769230774, 128.11538461538464)"
RNCDD,"(36.57692307692308, 128.11538461538464)","(36.61057692307693, 128.15384615384616)"
RNDCA,"(36.61057692307693, 128.15384615384616)","(36.644230769230774, 128.19230769230768)"
RNDCD,"(36.57692307692308, 128.19230769230768)","(36.61057692307693, 128.23076923076923)"
RNDCB,"(36.61057692307693, 128.19230769230768)","(36.644230769230774, 128.23076923076923)"
SJAAC,"(37.04807692307692, 126.76923076923077)","(37.08173076923077, 126.80769230769232)"
SJAAA,"(37.08173076923077, 126.76923076923077)","(37.11538461538461, 126.80769230769232)"
SJAAD,"(37.04807692307692, 126.80769230769232)","(37.08173076923077, 126.84615384615385)"
SJABB,"(37.08173076923077, 126.88461538461539)","(37.11538461538461, 126.92307692307693)"
SJBCC,"(36.980769230769226, 126.92307692307693)","(37.01442307692307, 126.96153846153847)"
SJBCD,"(36.980769230769226, 126.96153846153847)","(37.01442307692307, 127.0)"
SJBAA,"(37.08173076923077, 126.92307692307693)","(37.11538461538461, 126.96153846153847)"
SJBAD,"(37.04807692307692, 126.96153846153847)","(37.08173076923077, 127.0)"
SJBAB,"(37.08173076923077, 126.96153846153847)","(37.11538461538461, 127.0)"
SJBDC,"(36.980769230769226, 127.0)","(37.01442307692307, 127.03846153846155)"
SJBDD,"(36.980769230769226, 127.03846153846155)","(37.01442307692307, 127.07692307692308)"
SKACC,"(36.980769230769226, 127.07692307692308)","(37.01442307692307, 127.11538461538461)"
SKACD,"(36.980769230769226, 127.11538461538461)","(37.01442307692307, 127.15384615384616)"
SKADB,"(37.01442307692307, 127.1923076923077)","(37.04807692307692, 127.23076923076923)"
SKDAC,"(36.91346153846153, 127.23076923076923)","(36.94711538461538, 127.26923076923077)"
SKDAD,"(36.91346153846153, 127.26923076923077)","(36.94711538461538, 127.3076923076923)"
SKDBC,"(36.91346153846153, 127.3076923076923)","(36.94711538461538, 127.34615384615384)"
SKDBD,"(36.91346153846153, 127.34615384615384)","(36.94711538461538, 127.38461538461539)"
SKBCA,"(37.01442307692307, 127.23076923076923)","(37.04807692307692, 127.26923076923077)"
SKBCD,"(36.980769230769226, 127.26923076923077)","(37.01442307692307, 127.3076923076923)"
SKBCB,"(37.01442307692307, 127.26923076923077)","(37.04807692307692, 127.3076923076923)"
SKBDA,"(37.01442307692307, 127.3076923076923)","(37.04807692307692, 127.34615384615384)"
SKBDD,"(36.980769230769226, 127.34615384615384)","(37.01442307692307, 127.38461538461539)"
SKBDB,"(37.01442307692307, 127.34615384615384)","(37.04807692307692, 127.38461538461539)"
TIDBC,"(37.18269230769231, 126.6923076923077)","(37.21634615384615, 126.73076923076923)"
TIDBA,"(37.21634615384615, 126.6923076923077)","(37.25, 126.73076923076923)"
TIBAC,"(37.31730769230769, 126.61538461538461)","(37.35096153846154, 126.65384615384616)"
TIBAD,"(37.31730769230769, 126.65384615384616)","(37.35096153846154, 126.6923076923077)"
TIBDC,"(37.25, 126.6923076923077)","(37.28365384615385, 126.73076923076923)"
TIBDA,"(37.28365384615385, 126.6923076923077)","(37.31730769230769, 126.73076923076923)"
TIBBC,"(37.31730769230769, 126.6923076923077)","(37.35096153846154, 126.73076923076923)"
TJCCB,"(37.14903846153846, 126.80769230769232)","(37.18269230769231, 126.84615384615385)"
TJCAA,"(37.21634615384615, 126.76923076923077)","(37.25, 126.80769230769232)"
TJCAD,"(37.18269230769231, 126.80769230769232)","(37.21634615384615, 126.84615384615385)"
TJCAB,"(37.21634615384615, 126.80769230769232)","(37.25, 126.84615384615385)"
TJADC,"(37.25, 126.84615384615385)","(37.28365384615385, 126.88461538461539)"
TJADA,"(37.28365384615385, 126.84615384615385)","(37.31730769230769, 126.88461538461539)"
TJADD,"(37.25, 126.88461538461539)","(37.28365384615385, 126.92307692307693)"
TJABC,"(37.31730769230769, 126.84615384615385)","(37.35096153846154, 126.88461538461539)"
TJABA,"(37.35096153846154, 126.84615384615385)","(37.38461538461539, 126.88461538461539)"
TJABB,"(37.35096153846154, 126.88461538461539)","(37.38461538461539, 126.92307692307693)"
UHDAC,"(37.45192307692308, 126.30769230769232)","(37.48557692307693, 126.34615384615385)"
UHDAA,"(37.48557692307693, 126.30769230769232)","(37.519230769230774, 126.34615384615385)"
UHDAB,"(37.48557692307693, 126.34615384615385)","(37.519230769230774, 126.38461538461539)"
UHDDC,"(37.38461538461539, 126.38461538461539)","(37.41826923076923, 126.42307692307693)"
UHDDA,"(37.41826923076923, 126.38461538461539)","(37.45192307692308, 126.42307692307693)"
UHDDD,"(37.38461538461539, 126.42307692307693)","(37.41826923076923, 126.46153846153847)"
UICCC,"(37.38461538461539, 126.46153846153847)","(37.41826923076923, 126.5)"
UICCD,"(37.38461538461539, 126.5)","(37.41826923076923, 126.53846153846155)"
UICCB,"(37.41826923076923, 126.5)","(37.45192307692308, 126.53846153846155)"
UICAD,"(37.45192307692308, 126.5)","(37.48557692307693, 126.53846153846155)"
UICDC,"(37.38461538461539, 126.53846153846155)","(37.41826923076923, 126.57692307692308)"
UICDA,"(37.41826923076923, 126.53846153846155)","(37.45192307692308, 126.57692307692308)"
UICBC,"(37.45192307692308, 126.53846153846155)","(37.48557692307693, 126.57692307692308)"
UIADA,"(37.55288461538462, 126.53846153846155)","(37.58653846153847, 126.57692307692308)"
UIBAC,"(37.58653846153847, 126.61538461538461)","(37.62019230769231, 126.65384615384616)"
UIBAA,"(37.62019230769231, 126.61538461538461)","(37.65384615384615, 126.65384615384616)"
UIBAB,"(37.62019230769231, 126.65384615384616)","(37.65384615384615, 126.6923076923077)"
UJACC,"(37.519230769230774, 126.76923076923077)","(37.55288461538462, 126.80769230769232)"
UJACD,"(37.519230769230774, 126.80769230769232)","(37.55288461538462, 126.84615384615385)"
UJAAC,"(37.58653846153847, 126.76923076923077)","(37.62019230769231, 126.80769230769232)"
UJAAA,"(37.62019230769231, 126.76923076923077)","(37.65384615384615, 126.80769230769232)"
UJABD,"(37.58653846153847, 126.88461538461539)","(37.62019230769231, 126.92307692307693)"
UJDBC,"(37.45192307692308, 127.0)","(37.48557692307693, 127.03846153846155)"
UJDBD,"(37.45192307692308, 127.03846153846155)","(37.48557692307693, 127.07692307692308)"
UJDBB,"(37.48557692307693, 127.03846153846155)","(37.519230769230774, 127.07692307692308)"
UJBCC,"(37.519230769230774, 126.92307692307693)","(37.55288461538462, 126.96153846153847)"
UJBCA,"(37.55288461538462, 126.92307692307693)","(37.58653846153847, 126.96153846153847)"
UJBCD,"(37.519230769230774, 126.96153846153847)","(37.55288461538462, 127.0)"
UJBAC,"(37.58653846153847, 126.92307692307693)","(37.62019230769231, 126.96153846153847)"
UJBAA,"(37.62019230769231, 126.92307692307693)","(37.65384615384615, 126.96153846153847)"
UJBAB,"(37.62019230769231, 126.96153846153847)","(37.65384615384615, 127.0)"
UJBDA,"(37.55288461538462, 127.0)","(37.58653846153847, 127.03846153846155)"
UJBDD,"(37.519230769230774, 127.03846153846155)","(37.55288461538462, 127.07692307692308)"
UJBDB,"(37.55288461538462, 127.03846153846155)","(37.58653846153847, 127.07692307692308)"
UKCCA,"(37.41826923076923, 127.07692307692308)","(37.45192307692308, 127.11538461538461)"
UKCCD,"(37.38461538461539, 127.11538461538461)","(37.41826923076923, 127.15384615384616)"
UKCCB,"(37.41826923076923, 127.11538461538461)","(37.45192307692308, 127.15384615384616)"
UKABC,"(37.58653846153847, 127.15384615384616)","(37.62019230769231, 127.1923076923077)"
UKABA,"(37.62019230769231, 127.15384615384616)","(37.65384615384615, 127.1923076923077)"
UKABB,"(37.62019230769231, 127.1923076923077)","(37.65384615384615, 127.23076923076923)"
UKBAC,"(37.58653846153847, 127.23076923076923)","(37.62019230769231, 127.26923076923077)"
UKBAA,"(37.62019230769231, 127.23076923076923)","(37.65384615384615, 127.26923076923077)"
UKBAD,"(37.58653846153847, 127.26923076923077)","(37.62019230769231, 127.3076923076923)"
ULBBC,"(37.58653846153847, 127.61538461538461)","(37.62019230769231, 127.65384615384616)"
ULBBA,"(37.62019230769231, 127.61538461538461)","(37.65384615384615, 127.65384615384616)"
ULBBD,"(37.58653846153847, 127.65384615384616)","(37.62019230769231, 127.6923076923077)"
VJCCC,"(37.65384615384615, 126.76923076923077)","(37.6875, 126.80769230769232)"
VJCAA,"(37.754807692307686, 126.76923076923077)","(37.78846153846153, 126.80769230769232)"
VJCAD,"(37.72115384615384, 126.80769230769232)","(37.754807692307686, 126.84615384615385)"
VJCAB,"(37.754807692307686, 126.80769230769232)","(37.78846153846153, 126.84615384615385)"
VJCDA,"(37.6875, 126.84615384615385)","(37.72115384615384, 126.88461538461539)"
VJCDD,"(37.65384615384615, 126.88461538461539)","(37.6875, 126.92307692307693)"
VJCDB,"(37.6875, 126.88461538461539)","(37.72115384615384, 126.92307692307693)"
VKDDC,"(37.65384615384615, 127.3076923076923)","(37.6875, 127.34615384615384)"
VKDDA,"(37.6875, 127.3076923076923)","(37.72115384615384, 127.34615384615384)"
VLCCC,"(37.65384615384615, 127.38461538461539)","(37.6875, 127.42307692307693)"
VLCCD,"(37.65384615384615, 127.42307692307693)","(37.6875, 127.46153846153847)"
VLCCB,"(37.6875, 127.42307692307693)","(37.72115384615384, 127.46153846153847)"
VLCAA,"(37.754807692307686, 127.38461538461539)","(37.78846153846153, 127.42307692307693)"
VLCAD,"(37.72115384615384, 127.42307692307693)","(37.754807692307686, 127.46153846153847)"
VLCAB,"(37.754807692307686, 127.42307692307693)","(37.78846153846153, 127.46153846153847)"
VLCDC,"(37.65384615384615, 127.46153846153847)","(37.6875, 127.5)"
VLCDA,"(37.6875, 127.46153846153847)","(37.72115384615384, 127.5)"
VLCDB,"(37.6875, 127.5)","(37.72115384615384, 127.53846153846155)"
OQDDBA,"(35.81971153846153, 129.19230769230768)","(35.83653846153846, 129.21153846153845)"
OQDDBD,"(35.80288461538461, 129.21153846153845)","(35.81971153846153, 129.23076923076923)"
ORCCAC,"(35.80288461538461, 129.23076923076923)","(35.81971153846153, 129.25)"
ORCCAD,"(35.80288461538461, 129.25)","(35.81971153846153, 129.26923076923077)"
ORCCAB,"(35.81971153846153, 129.25)","(35.83653846153846, 129.26923076923077)"
ORCACA,"(35.85336538461539, 129.23076923076923)","(35.87019230769231, 129.25)"
ORCACB,"(35.85336538461539, 129.25)","(35.87019230769231, 129.26923076923077)"
ORCDCC,"(35.76923076923077, 129.30769230769232)","(35.78605769230769, 129.3269230769231)"
ORCDCD,"(35.76923076923077, 129.3269230769231)","(35.78605769230769, 129.34615384615387)"
ORCDCB,"(35.78605769230769, 129.3269230769231)","(35.80288461538461, 129.34615384615387)"
RLCBCD,"(36.644230769230774, 127.48076923076923)","(36.66105769230769, 127.5)"
RLCBDC,"(36.644230769230774, 127.5)","(36.66105769230769, 127.51923076923077)"
RLCBDD,"(36.644230769230774, 127.51923076923077)","(36.66105769230769, 127.53846153846155)"
RLCBDB,"(36.66105769230769, 127.51923076923077)","(36.67788461538462, 127.53846153846155)"
RLBACC,"(36.77884615384616, 127.53846153846155)","(36.79567307692308, 127.55769230769232)"
RLBACA,"(36.79567307692308, 127.53846153846155)","(36.8125, 127.55769230769232)"
RLBACB,"(36.79567307692308, 127.55769230769232)","(36.8125, 127.57692307692308)"
RLBADA,"(36.79567307692308, 127.57692307692308)","(36.8125, 127.59615384615384)"
RLBADD,"(36.77884615384616, 127.59615384615384)","(36.79567307692308, 127.61538461538461)"
RLBADB,"(36.79567307692308, 127.59615384615384)","(36.8125, 127.61538461538461)"
RNCDBC,"(36.61057692307693, 128.11538461538464)","(36.627403846153854, 128.13461538461542)"
RNCDBA,"(36.627403846153854, 128.11538461538464)","(36.644230769230774, 128.13461538461542)"
RNCDBD,"(36.61057692307693, 128.13461538461542)","(36.627403846153854, 128.15384615384616)"
RNDCCD,"(36.57692307692308, 128.1730769230769)","(36.59375, 128.19230769230768)"
RNDCCB,"(36.59375, 128.1730769230769)","(36.61057692307693, 128.19230769230768)"
SJAABC,"(37.08173076923077, 126.80769230769232)","(37.09855769230769, 126.8269230769231)"
SJABCB,"(37.06490384615384, 126.86538461538461)","(37.08173076923077, 126.88461538461539)"
SJABAA,"(37.09855769230769, 126.84615384615385)","(37.11538461538461, 126.86538461538461)"
SJABAD,"(37.08173076923077, 126.86538461538461)","(37.09855769230769, 126.88461538461539)"
SJABAB,"(37.09855769230769, 126.86538461538461)","(37.11538461538461, 126.88461538461539)"
SJABDA,"(37.06490384615384, 126.88461538461539)","(37.08173076923077, 126.90384615384616)"
SJABDB,"(37.06490384615384, 126.90384615384616)","(37.08173076923077, 126.92307692307693)"
SJBCAC,"(37.01442307692307, 126.92307692307693)","(37.03125, 126.94230769230771)"
SJBCAD,"(37.01442307692307, 126.94230769230771)","(37.03125, 126.96153846153847)"
SJBCBB,"(37.03125, 126.98076923076923)","(37.04807692307692, 127.0)"
SJBACA,"(37.06490384615384, 126.92307692307693)","(37.08173076923077, 126.94230769230771)"
SJBACD,"(37.04807692307692, 126.94230769230771)","(37.06490384615384, 126.96153846153847)"
SJBACB,"(37.06490384615384, 126.94230769230771)","(37.08173076923077, 126.96153846153847)"
SJBDAA,"(37.03125, 127.0)","(37.04807692307692, 127.01923076923077)"
SJBDAB,"(37.03125, 127.01923076923077)","(37.04807692307692, 127.03846153846155)"
SJBDBA,"(37.03125, 127.03846153846155)","(37.04807692307692, 127.05769230769232)"
SJBDBB,"(37.03125, 127.05769230769232)","(37.04807692307692, 127.07692307692308)"
SKACAD,"(37.01442307692307, 127.09615384615384)","(37.03125, 127.11538461538461)"
SKACBC,"(37.01442307692307, 127.11538461538461)","(37.03125, 127.13461538461539)"
SKACBD,"(37.01442307692307, 127.13461538461539)","(37.03125, 127.15384615384616)"
SKADCC,"(36.980769230769226, 127.15384615384616)","(36.997596153846146, 127.17307692307693)"
SKADCA,"(36.997596153846146, 127.15384615384616)","(37.01442307692307, 127.17307692307693)"
SKADCD,"(36.980769230769226, 127.17307692307693)","(36.997596153846146, 127.1923076923077)"
SKADAB,"(37.03125, 127.17307692307693)","(37.04807692307692, 127.1923076923077)"
SKADDB,"(36.997596153846146, 127.21153846153845)","(37.01442307692307, 127.23076923076923)"
SKDAAC,"(36.94711538461538, 127.23076923076923)","(36.96394230769231, 127.25)"
SKDAAD,"(36.94711538461538, 127.25)","(36.96394230769231, 127.26923076923077)"
SKDABC,"(36.94711538461538, 127.26923076923077)","(36.96394230769231, 127.28846153846155)"
SKDABD,"(36.94711538461538, 127.28846153846155)","(36.96394230769231, 127.3076923076923)"
SKDBAC,"(36.94711538461538, 127.3076923076923)","(36.96394230769231, 127.32692307692307)"
SKDBAD,"(36.94711538461538, 127.32692307692307)","(36.96394230769231, 127.34615384615384)"
SKDBAB,"(36.96394230769231, 127.32692307692307)","(36.980769230769226, 127.34615384615384)"
SKDBBC,"(36.94711538461538, 127.34615384615384)","(36.96394230769231, 127.36538461538461)"
SKDBBD,"(36.94711538461538, 127.36538461538461)","(36.96394230769231, 127.38461538461539)"
SKDBBB,"(36.96394230769231, 127.36538461538461)","(36.980769230769226, 127.38461538461539)"
SKBCCA,"(36.997596153846146, 127.23076923076923)","(37.01442307692307, 127.25)"
SKBCCD,"(36.980769230769226, 127.25)","(36.997596153846146, 127.26923076923077)"
SKBCCB,"(36.997596153846146, 127.25)","(37.01442307692307, 127.26923076923077)"
SKBDCC,"(36.980769230769226, 127.3076923076923)","(36.997596153846146, 127.32692307692307)"
SKBDCA,"(36.997596153846146, 127.3076923076923)","(37.01442307692307, 127.32692307692307)"
SKBDCB,"(36.997596153846146, 127.32692307692307)","(37.01442307692307, 127.34615384615384)"
TIDBDC,"(37.18269230769231, 126.73076923076923)","(37.199519230769226, 126.75)"
TIDBDA,"(37.199519230769226, 126.73076923076923)","(37.21634615384615, 126.75)"
TIDBBC,"(37.21634615384615, 126.73076923076923)","(37.23317307692308, 126.75)"
TIDBBA,"(37.23317307692308, 126.73076923076923)","(37.25, 126.75)"
TIBAAC,"(37.35096153846154, 126.61538461538461)","(37.36778846153847, 126.63461538461539)"
TIBAAD,"(37.35096153846154, 126.63461538461539)","(37.36778846153847, 126.65384615384616)"
TIBABC,"(37.35096153846154, 126.65384615384616)","(37.36778846153847, 126.67307692307693)"
TIBABD,"(37.35096153846154, 126.67307692307693)","(37.36778846153847, 126.6923076923077)"
TIBDDB,"(37.26682692307692, 126.75)","(37.28365384615385, 126.76923076923077)"
TIBDBD,"(37.28365384615385, 126.75)","(37.300480769230774, 126.76923076923077)"
TIBBAC,"(37.35096153846154, 126.6923076923077)","(37.36778846153847, 126.71153846153845)"
TIBBAD,"(37.35096153846154, 126.71153846153845)","(37.36778846153847, 126.73076923076923)"
TIBBAB,"(37.36778846153847, 126.71153846153845)","(37.38461538461539, 126.73076923076923)"
TIBBDA,"(37.33413461538461, 126.73076923076923)","(37.35096153846154, 126.75)"
TIBBBC,"(37.35096153846154, 126.73076923076923)","(37.36778846153847, 126.75)"
TIBBBA,"(37.36778846153847, 126.73076923076923)","(37.38461538461539, 126.75)"
TJCCCC,"(37.11538461538461, 126.76923076923077)","(37.13221153846153, 126.78846153846155)"
TJCCCA,"(37.13221153846153, 126.76923076923077)","(37.14903846153846, 126.78846153846155)"
TJCCCD,"(37.11538461538461, 126.78846153846155)","(37.13221153846153, 126.80769230769232)"
TJCCAC,"(37.14903846153846, 126.76923076923077)","(37.16586538461539, 126.78846153846155)"
TJCCDD,"(37.11538461538461, 126.8269230769231)","(37.13221153846153, 126.84615384615385)"
TJCCDB,"(37.13221153846153, 126.8269230769231)","(37.14903846153846, 126.84615384615385)"
TJCACA,"(37.199519230769226, 126.76923076923077)","(37.21634615384615, 126.78846153846155)"
TJCACD,"(37.18269230769231, 126.78846153846155)","(37.199519230769226, 126.80769230769232)"
TJCACB,"(37.199519230769226, 126.78846153846155)","(37.21634615384615, 126.80769230769232)"
