Grid Name,"Min Latitude, Min Longitude","Max Latitude, Max Longitude"
EI,"(33.07692307692308, 126.46153846153847)","(33.34615384615385, 126.76923076923077)"
EJ,"(33.07692307692308, 126.76923076923077)","(33.34615384615385, 127.07692307692308)"
EK,"(33.07692307692308, 127.07692307692308)","(33.34615384615385, 127.38461538461539)"
EL,"(33.07692307692308, 127.38461538461539)","(33.34615384615385, 127.6923076923077)"
EM,"(33.07692307692308, 127.6923076923077)","(33.34615384615385, 128.0)"
EN,"(33.07692307692308, 128.0)","(33.34615384615385, 128.30769230769232)"
EO,"(33.07692307692308, 128.30769230769232)","(33.34615384615385, 128.6153846153846)"
EP,"(33.07692307692308, 128.6153846153846)","(33.34615384615385, 128.92307692307693)"
EQ,"(33.07692307692308, 128.92307692307693)","(33.34615384615385, 129.23076923076923)"
ER,"(33.07692307692308, 129.23076923076923)","(33.34615384615385, 129.53846153846155)"
ES,"(33.07692307692308, 129.53846153846155)","(33.34615384615385, 129.84615384615384)"
ET,"(33.07692307692308, 129.84615384615384)","(33.34615384615385, 130.15384615384616)"
EU,"(33.07692307692308, 130.15384615384616)","(33.34615384615385, 130.46153846153845)"
EV,"(33.07692307692308, 130.46153846153845)","(33.34615384615385, 130.76923076923077)"
EW,"(33.07692307692308, 130.76923076923077)","(33.34615384615385, 131.07692307692307)"
EX,"(33.07692307692308, 131.07692307692307)","(33.34615384615385, 131.3846153846154)"
EY,"(33.07692307692308, 131.3846153846154)","(33.34615384615385, 131.69230769230768)"
EZ,"(33.07692307692308, 131.69230769230768)","(33.34615384615385, 132.0)"
FA,"(33.34615384615385, 124.0)","(33.61538461538461, 124.3076923076923)"
FB,"(33.34615384615385, 124.3076923076923)","(33.61538461538461, 124.61538461538461)"
FC,"(33.34615384615385, 124.61538461538461)","(33.61538461538461, 124.92307692307692)"
FD,"(33.34615384615385, 124.92307692307692)","(33.61538461538461, 125.23076923076923)"
FE,"(33.34615384615385, 125.23076923076923)","(33.61538461538461, 125.53846153846153)"
FF,"(33.34615384615385, 125.53846153846153)","(33.61538461538461, 125.84615384615384)"
FG,"(33.34615384615385, 125.84615384615384)","(33.61538461538461, 126.15384615384616)"
FH,"(33.34615384615385, 126.15384615384616)","(33.61538461538461, 126.46153846153847)"
FI,"(33.34615384615385, 126.46153846153847)","(33.61538461538461, 126.76923076923077)"
FJ,"(33.34615384615385, 126.76923076923077)","(33.61538461538461, 127.07692307692308)"
FK,"(33.34615384615385, 127.07692307692308)","(33.61538461538461, 127.38461538461539)"
FL,"(33.34615384615385, 127.38461538461539)","(33.61538461538461, 127.6923076923077)"
FM,"(33.34615384615385, 127.6923076923077)","(33.61538461538461, 128.0)"
FN,"(33.34615384615385, 128.0)","(33.61538461538461, 128.30769230769232)"
FO,"(33.34615384615385, 128.30769230769232)","(33.61538461538461, 128.6153846153846)"
FP,"(33.34615384615385, 128.6153846153846)","(33.61538461538461, 128.92307692307693)"
FQ,"(33.34615384615385, 128.92307692307693)","(33.61538461538461, 129.23076923076923)"
FR,"(33.34615384615385, 129.23076923076923)","(33.61538461538461, 129.53846153846155)"
FS,"(33.34615384615385, 129.53846153846155)","(33.61538461538461, 129.84615384615384)"
FT,"(33.34615384615385, 129.84615384615384)","(33.61538461538461, 130.15384615384616)"
