,F1,grid_path
152,N,['UIBCCBD']
153,AN,"['UIBCDCC', 'UIDABAA', 'UIDABAC', 'UIDABCA']"
154,N,"['UIDAABD', 'UIDAABB']"
155,N,"['UIDAABB', 'UIBCCDD', 'UIBCCBD']"
156,N,['UIBCCBD']
157,N,['UIBCCBD']
158,N,['UIBCCBD']
159,N,['UIBCCBD']
160,N,['UIBCCBD']
161,N,['UIBCCBD']
162,N,['UIBCCBD']
163,N,['UIBCCBD']
164,N,['UIBCCBD']
165,N,['UIBCCBD']
166,N,"['UIBCCBD', 'UIBCCDB']"
167,N,['UIBCCBD']
168,N,"['UIBCCDB', 'UIDAABB', 'UIDAABD', 'UIDAADB', 'UIDAADD']"
169,AN,['UIDACAC']
170,AN,"['UIDACAC', 'UICBDBD']"
171,AN,['UIDACAA']
172,AN,"['UIDACAB', 'UIDACBA', 'UIDAADD', 'UIDAADB', 'UIDAABD', 'UIDAABB', 'UIBCCDD']"
173,N,['UIBCCBD']
174,N,['UIBCCBD']
175,N,['UIBCCBD']
176,N,['UIBCCDB']
177,N,"['UIBCCDB', 'UIBCCBD']"
178,N,['UIBCCDB']
179,N,['UIBCCBD']
180,N,['UIBCCBD']
181,N,"['UIBCCBC', 'UIBCCBD']"
182,N,['UIBCCDB']
183,N,['UIBCCDB']
184,AN,"['UIBCADC', 'UIBCACC', 'UIADBDD', 'UIADDBA', 'UIADDAB', 'UIADDAA', 'UIADDAC', 'UIADCBD', 'UIADCBC', 'UIADCDA', 'UIADCCB', 'UIADCCD', 'UIADCCC', 'UICABBB', 'UICABBA', 'UICABBC', 'UICABBD', 'UICBACA']"
185,AN,"['UICBBCC', 'UICBADD', 'UICBADB', 'UICBABD', 'UICBABC', 'UICBADA', 'UICBACB', 'UICBACA', 'UICABBD']"
186,N,['UIBCCBD']
187,N,['UIBCCBD']
188,N,"['UIBCCBC', 'UIBCCBD']"
189,N,['UIBCCBD']
190,N,['UIBCCBD']
191,N,['UIBCCBD']
192,N,['UIBCCBD']
193,N,"['UIBCCBD', 'UIBCCBC']"
194,N,['UIBCCBD']
195,N,['UIBCCBD']
196,AN,"['UIBCCBC', 'UIBCCAD', 'UIBCCAC', 'UIBCCCA', 'UIBCCCC']"
197,N,['UIBCCBD']
