Unnamed: 0,F1,grid_path,DBSCAN output
151,N,['UIBCCBD'],N
152,N,['UIBCCBD'],N
153,AN,"['UIBCDCC', 'UIDABAA', 'UIDABAC', 'UIDABCA']",N
154,N,"['UIDAABD', 'UIDAABB']",N
155,N,"['UIDAABB', 'UIBCCDD', 'UIBCCBD']",N
156,N,['UIBCCBD'],N
157,N,['UIBCCBD'],N
158,N,['UIBCCBD'],N
159,N,['UIBCCBD'],N
160,N,['UIBCCBD'],N
161,N,['UIBCCBD'],N
162,N,['UIBCCBD'],N
163,N,['UIBCCBD'],N
164,N,['UIBCCBD'],N
165,N,['UIBCCBD'],N
166,N,"['UIBCCBD', 'UIBCCDB']",N
167,N,['UIBCCBD'],N
168,N,"['UIBCCDB', 'UIDAABB', 'UIDAABD', 'UIDAADB', 'UIDAADD']",N
169,AN,['UIDACAC'],N
170,AN,"['UIDACAC', 'UICBDBD']",N
171,AN,['UIDACAA'],N
172,AN,"['UIDACAB', 'UIDACBA', 'UIDAADD', 'UIDAADB', 'UIDAABD', 'UIDAABB', 'UIBCCDD']",N
173,N,['UIBCCBD'],N
174,N,['UIBCCBD'],N
175,N,['UIBCCBD'],N
176,N,['UIBCCDB'],N
177,N,"['UIBCCDB', 'UIBCCBD']",N
178,N,['UIBCCDB'],N
179,N,['UIBCCBD'],N
180,N,['UIBCCBD'],N
181,N,"['UIBCCBC', 'UIBCCBD']",N
182,N,['UIBCCDB'],N
183,N,['UIBCCDB'],N
184,AN,"['UIBCADC', 'UIBCACC', 'UIADBDD', 'UIADDBA', 'UIADDAB', 'UIADDAA', 'UIADDAC', 'UIADCBD', 'UIADCBC', 'UIADCDA', 'UIADCCB', 'UIADCCD', 'UIADCCC', 'UICABBB', 'UICABBA', 'UICABBC', 'UICABBD', 'UICBACA']",N
185,AN,"['UICBBCC', 'UICBADD', 'UICBADB', 'UICBABD', 'UICBABC', 'UICBADA', 'UICBACB', 'UICBACA', 'UICABBD']",N
186,N,['UIBCCBD'],N
187,N,['UIBCCBD'],N
188,N,"['UIBCCBC', 'UIBCCBD']",N
189,N,['UIBCCBD'],N
190,N,['UIBCCBD'],N
191,N,['UIBCCBD'],N
192,N,['UIBCCBD'],N
193,N,"['UIBCCBD', 'UIBCCBC']",N
194,N,['UIBCCBD'],N
195,N,['UIBCCBD'],N
196,AN,"['UIBCCBC', 'UIBCCAD', 'UIBCCAC', 'UIBCCCA', 'UIBCCCC']",N
197,N,['UIBCCBD'],N
198,AN,"['UIBCDAC', 'UIBCBCD', 'UIBCBCB', 'UIBCBAD', 'UIBCBBC', 'UIBCBDA', 'UIBCBDB', 'UIBCBBD', 'UIBDAAC', 'UIBDAAD', 'UIBDABC', 'UIBDABD', 'UIBDBAC', 'UIBDBAD', 'UIBDBBC', 'UIBDBBD', 'UIBDBBB', 'UJACAAA', 'UJACAAB', 'UJACABA', 'UJACABB', 'UJACBAA', 'UJACBAB', 'UJAADCD', 'UJAADDC', 'UJAADDA', 'UJAADDB', 'UJAADBD', 'UJABCAC', 'VJCDCAC', 'VJCACDC', 'VJCACDA']",N
199,AN,"['VJCACDB', 'VJCACDD']",N
